Movie title,Year,Category
Ordinary People,1980,Best Picture
Raging Bull,1980,Best Actor
Coal Miner's Daughter,1980,Best Actress
Ordinary People,1980,Best Supporting Actor
Melvin and Howard,1980,Best Supporting Actress
Ordinary People,1980,Best Director
Ordinary People,1980,Best Adapted Screenplay
Tess,1980,Best Cinematography (Color)
Raging Bull,1980,Best Film Editing
Chariots of Fire,1981,Best Picture
On Golden Pond,1981,Best Actor
On Golden Pond,1981,Best Actress
Arthur,1981,Best Supporting Actor
Reds,1981,Best Supporting Actress
Reds,1981,Best Director
On Golden Pond,1981,Best Adapted Screenplay
Reds,1981,Best Cinematography (Color)
Raiders of the Lost Ark,1981,Best Film Editing
Gandhi,1982,Best Picture
Gandhi,1982,Best Actor
Sophie's Choice,1982,Best Actress
An Officer and a Gentleman,1982,Best Supporting Actor
Tootsie,1982,Best Supporting Actress
Gandhi,1982,Best Director
Missing,1982,Best Adapted Screenplay
Gandhi,1982,Best Cinematography (Color)
Gandhi,1982,Best Film Editing
Terms of Endearment,1983,Best Picture
Tender Mercies,1983,Best Actor
Terms of Endearment,1983,Best Actress
Terms of Endearment,1983,Best Supporting Actor
The Year of Living Dangerously,1983,Best Supporting Actress
Terms of Endearment,1983,Best Director
Terms of Endearment,1983,Best Adapted Screenplay
Fanny and Alexander,1983,Best Cinematography (Color)
The Right Stuff,1983,Best Film Editing
Amadeus,1984,Best Picture
Amadeus,1984,Best Actor
Places in the Heart,1984,Best Actress
The Killing Fields,1984,Best Supporting Actor
A Passage to India,1984,Best Supporting Actress
Amadeus,1984,Best Director
Amadeus,1984,Best Adapted Screenplay
The Killing Fields,1984,Best Cinematography (Color)
The Killing Fields,1984,Best Film Editing
Out of Africa,1985,Best Picture
Kiss of the Spider Woman,1985,Best Actor
The Trip to Bountiful,1985,Best Actress
Cocoon,1985,Best Supporting Actor
Prizzi's Honor,1985,Best Supporting Actress
Out of Africa,1985,Best Director
Out of Africa,1985,Best Adapted Screenplay
Out of Africa,1985,Best Cinematography (Color)
Witness,1985,Best Film Editing
Platoon,1986,Best Picture
The Color of Money,1986,Best Actor
Children of a Lesser God,1986,Best Actress
Hannah and her Sisters,1986,Best Supporting Actor
Hannah and Her Sisters,1986,Best Supporting Actress
Platoon,1986,Best Director
A Room with a View,1986,Best Adapted Screenplay
The Mission,1986,Best Cinematography (Color)
Platoon,1986,Best Film Editing
The Last Emperor,1987,Best Picture
Wall Street,1987,Best Actor
Moonstruck,1987,Best Actress
The Untouchables,1987,Best Supporting Actor
Moonstruck,1987,Best Supporting Actress
The Last Emperor,1987,Best Director
The Last Emperor,1987,Best Adapted Screenplay
The Last Emperor,1987,Best Cinematography (Color)
The Last Emperor,1987,Best Film Editing
Rain Man,1988,Best Picture
Rain Man,1988,Best Actor
The Accused,1988,Best Actress
A Fish Called Wanda,1988,Best Supporting Actor
The Accidental Tourist,1988,Best Supporting Actress
